  512
  
X         1.887     8.281     8.874
     1.551     9.151     8.811
     0.974     0.478     8.688
     0.266     1.285     8.477
     0.898     1.571     8.968
     0.748     1.737     0.463
     0.229     0.987     9.472
     9.014     0.530     0.414
     0.901     7.805     1.708
     0.408     8.660     2.004
     0.687     8.901     2.934
     0.894     0.287     3.320
     0.939     1.279     3.460
     1.628     1.884     3.785
     2.059     1.023     3.812
     2.576     0.768     4.595
     9.119     0.534     2.812
     9.167     1.272     3.476
     0.357     1.272     4.253
     0.136     0.353     4.214
     0.235     9.309     5.051
     1.246     8.934     5.115
     1.896     8.265     5.147
     1.742     8.245     6.136
     0.078     7.670     8.097
     0.790     8.241     7.854
     9.498     8.449     7.183
     0.074     9.214     6.628
     1.098     9.470     6.702
     0.827     9.283     7.628
     0.292     9.252     8.299
     9.366     0.247     7.537
     0.951     3.641     8.537
     1.245     4.452     8.987
     1.145     4.444     0.505
     1.093     3.884     1.184
     0.190     3.707     0.751
     0.210     3.047     9.385
     9.313     2.067     0.209
     8.824     1.611     0.889
     9.263     0.831     1.639
     0.512     1.617     1.868
     9.155     1.774     2.446
     8.956     2.434     1.557
     0.456     2.670     1.301
     0.661     3.336     2.071
     0.136     2.688     2.342
     0.011     3.519     2.857
     1.582     2.881     3.552
     1.143     2.770     4.334
     1.109     3.330     5.248
     1.265     4.210     4.866
     0.496     4.783     4.592
     0.088     4.257     5.305
     0.334     3.607     4.596
     0.647     4.104     3.719
     9.155     1.648     4.730
     8.805     2.327     5.434
     0.046     1.669     5.763
     0.472     2.491     5.708
     0.299     3.489     6.013
     0.260     3.108     6.962
     8.880     2.881     7.256
     8.687     3.452     6.575
     0.808     5.538     7.925
     0.779     5.761     8.991
     0.325     6.088     0.318
     9.246     5.995     1.152
     9.071     5.335     0.445
     0.186     4.622     9.434
     0.150     4.727     0.874
     8.754     4.728     1.180
     2.490     5.626     4.725
     2.321     6.447     4.149
     1.589     6.217     3.539
     1.130     5.263     3.659
     0.562     6.057     3.617
     9.322     5.320     3.618
     8.461     5.685     3.248
     9.330     5.754     2.642
     2.090     4.016     5.484
     1.422     4.769     5.717
     1.318     5.332     4.860
     0.699     6.137     4.724
     0.641     6.279     5.605
     0.137     5.234     5.755
     8.749     4.973     6.141
     7.900     4.521     6.335
     0.655     4.517     6.371
     0.954     5.421     6.675
     0.119     5.645     7.260
     9.102     6.193     7.767
     9.322     5.625     8.559
     0.244     4.697     8.158
     0.012     3.546     8.289
     8.662     3.054     8.742
     8.118     6.796     8.018
     8.867     6.656     8.631
     9.376     7.354     9.227
     8.806     8.124     0.134
     0.123     8.180     0.757
     0.857     8.428     0.153
     0.636     7.462     0.293
     9.364     7.222     0.986
     1.201     6.779     0.683
     0.912     6.184     1.461
     0.584     6.710     2.208
     9.434     6.669     3.085
     0.186     7.552     2.714
     9.085     7.808     3.544
     8.363     7.768     4.254
     8.633     6.918     3.607
     0.457     7.238     3.693
     0.837     8.132     3.779
     0.441     8.176     4.632
     0.866     7.727     5.296
     0.714     7.318     6.208
     9.313     7.331     6.526
     9.322     7.219     5.554
     9.244     7.100     4.485
     2.217     6.365     6.117
     1.677     7.090     6.556
     0.921     6.451     6.842
     0.968     7.186     7.563
     0.831     6.542     8.231
     1.315     6.874     8.960
     2.005     6.882     8.066
     2.388     6.491     7.423
     1.589     0.924     9.428
     2.383     0.323     0.102
     3.293     0.822     0.120
     2.416     1.510     0.098
     2.412     1.241     1.100
     2.911     0.390     1.007
     3.598     9.214     0.603
     4.078     8.919     1.381
     4.461     9.125     2.774
     3.461     9.343     2.734
     3.883     0.525     2.074
     3.702     1.509     2.329
     3.319     0.923     3.113
     3.067     0.340     3.858
     3.434     8.819     3.688
     3.898     8.308     3.010
     4.419     9.444     5.167
     4.301     0.869     5.582
     3.791     1.722     5.589
     3.281     0.926     5.450
     3.472     0.782     6.435
     4.068     1.268     7.147
     4.553     1.345     6.429
     4.493     0.314     6.542
     2.662     0.064     7.504
     3.269     9.018     8.117
     3.772     0.212     7.723
     3.023     0.745     8.162
     3.676     1.381     8.491
     4.455     1.123     9.101
     4.110     0.316     8.699
     3.339     9.287     9.146
     3.814     1.939     0.584
     4.380     2.886     0.651
     4.014     2.805     9.203
     3.093     3.455     9.198
     2.766     3.426     0.724
     3.341     2.730     1.236
     3.353     2.616     2.215
     2.671     2.083     2.442
     2.229     2.343     1.568
     1.335     2.472     2.070
     2.115     2.976     2.476
     2.555     3.722     2.236
     3.386     4.178     2.808
     3.592     3.386     3.333
     3.067     2.563     3.260
     3.857     2.084     3.638
     3.576     2.576     4.613
     2.802     3.031     4.285
     2.522     3.855     4.660
     2.330     2.920     5.103
     2.721     2.094     4.797
     2.589     2.031     5.723
     2.192     1.249     6.102
     2.783     1.460     6.753
     3.236     3.455     5.821
     2.796     3.787     6.590
     1.919     4.199     6.464
     1.310     3.442     6.291
     1.968     2.809     6.506
     3.010     2.682     6.724
     3.536     3.479     6.992
     3.603     3.489     8.109
     4.198     3.805     0.253
     3.657     4.544     9.247
     3.245     5.431     0.213
     2.470     5.451     0.820
     2.903     5.603     1.677
     3.672     5.127     1.363
     3.677     4.094     1.443
     2.721     4.409     1.336
     4.492     5.098     1.955
     4.759     6.016     2.185
