  125,
   15.521412,
     1.339,     2.586,     2.875,
     2.078,     2.178,     2.338,
     0.622,     2.915,     2.260,
     1.478,    14.046,     3.181,
     2.314,    13.967,     2.638,
     0.710,    14.268,     2.579,
    15.236,     1.785,     5.070,
    15.964,     1.864,     4.389,
    14.355,     1.686,     4.607,
    14.497,    14.107,     9.236,
    15.290,    14.183,     8.631,
    13.659,    14.138,     8.692,
    15.135,     1.771,    13.012,
    16.011,     1.911,    12.552,
    14.401,     1.752,    12.333,
    14.899,     5.230,    14.933,
    15.700,     5.269,    14.337,
    14.068,     5.303,    14.381,
    14.701,     5.602,     3.381,
    15.453,     5.736,     2.736,
    13.846,     5.483,     2.876,
     3.506,     2.698,     4.714,
     4.277,     2.389,     4.157,
     2.798,     3.080,     4.121,
     1.505,     5.068,     9.034,
     2.347,     5.177,     8.507,
     0.720,     5.073,     8.413,
    15.084,     4.739,    10.947,
    15.902,     4.744,    10.372,
    14.270,     4.734,    10.367,
     1.364,     6.136,     1.349,
     2.234,     6.279,     0.879,
     0.633,     6.030,     0.674,
    12.893,     4.380,     5.386,
    13.658,     4.501,     4.753,
    12.036,     4.350,     4.872,
     2.038,    10.149,     7.131,
     2.802,     9.802,     6.586,
     1.244,    10.289,     6.541,
    15.128,     4.475,     7.231,
    15.906,     4.731,     6.658,
    14.319,     4.348,     6.658,
     3.545,     5.061,    11.124,
     4.401,     5.110,    10.610,
     2.775,     5.025,    10.486,
     1.452,     9.756,    15.124,
     2.263,     9.724,    14.539,
     0.631,     9.664,    14.561,
    15.169,     9.149,     1.394,
    15.949,     9.394,     0.820,
    14.422,     8.816,     0.818,
    15.489,     9.157,     5.274,
    16.220,     8.788,     4.701,
    14.766,     9.532,     4.694,
    13.247,     8.976,    11.033,
    14.006,     9.346,    10.498,
    12.461,     8.820,    10.435,
    15.328,     8.164,    12.654,
    16.147,     8.275,    12.092,
    14.523,     8.106,    12.063,
    15.038,    15.451,     1.402,
    15.800,    15.208,     0.800,
    14.221,    15.624,     0.852,
    12.955,    12.698,     3.539,
    13.652,    12.756,     2.824,
    12.107,    12.341,     3.149,
     0.991,    13.880,     7.426,
     1.747,    14.174,     6.842,
     0.221,    13.593,     6.856,
     1.793,     8.514,    10.752,
     2.640,     8.205,    10.321,
     1.105,     8.690,    10.047,
    14.762,    12.986,    13.273,
    15.592,    12.988,    12.715,
    13.968,    12.818,    12.689,
     1.715,     2.749,    15.258,
     2.378,     2.491,    14.555,
     0.853,     3.011,    14.824,
     3.371,    13.126,     1.249,
     4.213,    13.157,     0.710,
     2.585,    13.051,     0.635,
     3.339,    14.223,     5.379,
     4.158,    14.120,     4.814,
     2.528,    14.204,     4.794,
     1.304,    13.659,    11.113,
     2.067,    13.411,    10.516,
     0.488,    13.826,    10.560,
     3.482,     2.202,    13.027,
     4.306,     2.218,    12.462,
     2.673,     2.208,    12.439,
     3.454,     1.129,     0.979,
     4.256,     0.991,     0.398,
     2.649,     1.282,     0.406,
     3.342,     5.813,     3.270,
     4.161,     5.749,     2.701,
     2.533,     5.870,     2.686,
     1.757,     1.928,     7.014,
     2.545,     1.986,     6.401,
     0.920,     1.842,     6.473,
     1.633,     2.015,    10.958,
     2.405,     2.018,    10.323,
     0.777,     2.027,    10.442,
     1.451,     5.557,    13.019,
     2.293,     5.796,    12.536,
     0.769,     5.237,    12.361,
     3.463,     6.482,    15.134,
     4.313,     6.265,    14.654,
     2.727,     6.608,    14.468,
     5.304,     5.170,     1.219,
     6.120,     5.171,     0.641,
     4.487,     5.170,     0.643,
     5.473,     2.771,     6.794,
     6.383,     2.804,     6.380,
     4.779,     2.770,     6.074,
     3.501,     6.566,     7.444,
     4.322,     6.519,     6.876,
