Surf 110 Ave ret.time  49.960 ns, #hopping 0 
Surf 111 Ave ret.time  15.827 ns, #hopping 2 
Surf 112 Ave ret.time  15.960 ns, #hopping 2 
Surf 113 Ave ret.time  49.960 ns, #hopping 0 
Surf 114 Ave ret.time  49.960 ns, #hopping 0 
Surf 115 Ave ret.time  49.960 ns, #hopping 0 
Surf 116 Ave ret.time  16.413 ns, #hopping 2 
Surf 117 Ave ret.time  24.720 ns, #hopping 1 
Surf 118 Ave ret.time  49.960 ns, #hopping 0 
Surf 119 Ave ret.time  15.800 ns, #hopping 2 
Surf 120 Ave ret.time  11.800 ns, #hopping 3 
Surf 121 Ave ret.time  49.960 ns, #hopping 0 
Surf 122 Ave ret.time  49.960 ns, #hopping 0 
Surf 123 Ave ret.time  49.960 ns, #hopping 0 
Surf 124 Ave ret.time  49.960 ns, #hopping 0 
Surf 125 Ave ret.time  49.960 ns, #hopping 0 
Surf 126 Ave ret.time  49.960 ns, #hopping 0 
Surf 127 Ave ret.time  49.960 ns, #hopping 0 
Surf 128 Ave ret.time   4.902 ns, #hopping 8 
Surf 129 Ave ret.time  16.173 ns, #hopping 2 
Surf 130 Ave ret.time  49.960 ns, #hopping 0 
Surf 131 Ave ret.time  49.960 ns, #hopping 0 
Surf 132 Ave ret.time   6.611 ns, #hopping 6 
Surf 133 Ave ret.time  49.960 ns, #hopping 0 
Surf 134 Ave ret.time  49.960 ns, #hopping 0 
Surf 135 Ave ret.time  49.960 ns, #hopping 0 
Surf 136 Ave ret.time  49.960 ns, #hopping 0 
Surf 137 Ave ret.time  49.960 ns, #hopping 0 
Surf 138 Ave ret.time  49.960 ns, #hopping 0 
Surf 139 Ave ret.time  49.960 ns, #hopping 0 
Surf 140 Ave ret.time  24.640 ns, #hopping 1 
Surf 141 Ave ret.time  49.960 ns, #hopping 0 
Surf 142 Ave ret.time  49.960 ns, #hopping 0 
Surf 143 Ave ret.time  49.960 ns, #hopping 0 
Surf 144 Ave ret.time  49.960 ns, #hopping 0 
Surf 145 Ave ret.time  49.960 ns, #hopping 0 
Surf 146 Ave ret.time  49.800 ns, #hopping 0 
Surf 147 Ave ret.time  49.960 ns, #hopping 0 
Surf 148 Ave ret.time  24.260 ns, #hopping 1 
Surf 149 Ave ret.time  49.960 ns, #hopping 0 
Surf 150 Ave ret.time  49.960 ns, #hopping 0 
Surf 151 Ave ret.time  49.960 ns, #hopping 0 
Surf 152 Ave ret.time  49.960 ns, #hopping 0 
Surf 153 Ave ret.time  49.960 ns, #hopping 0 
Surf 154 Ave ret.time  49.960 ns, #hopping 0 
Surf 155 Ave ret.time  49.960 ns, #hopping 0 
Surf 156 Ave ret.time  49.960 ns, #hopping 0 
Surf 157 Ave ret.time  12.150 ns, #hopping 3 
Surf 158 Ave ret.time  49.960 ns, #hopping 0 
Surf 159 Ave ret.time  49.960 ns, #hopping 0 
